Year,Other sockeye total run forecasts,Other sockeye total run actual,Actual - Forecast,,"UCI Sockeye
Total Run
Forcast",Kenai Sockeye Total Run Forcast,"Kasilof Sockeye
Total Run
Forcast"
1999,1191000,,,,3500000,1649000,660000
2000,1261000,,,,4500000,2453000,786000
2001,1074000,,,,4200000,2438000,688000
2002,1200000,,,,3700000,1713000,787000
2003,1179000,,,,3900000,2044000,677000
2004,1280000,,,,5200000,3193000,727000
2005,1370000,,,,5600000,3319000,911000
2006,814000,,,,3600000,1849000,937000
2007,1242000,,,,4900000,2411000,1247000
2008,1250000,,,,5600000,3064000,1286000
2009,1037000,,,,4300000,2441000,822000
2010,1027000,,,,3600000,1672000,901000
2011,1530000,,,,6400000,3941000,929000
2012,1420000,,,,6200000,4026000,754000
2013,1423000,,,,6700000,4374000,903000
2014,1246000,,,,6100000,3792000,1062000
2015,1158000,,,,5800000,3550000,1092000
2016,1521000,,,,7113000,4731000,861000
2017,1027000,,,,4016000,2164000,825000
2018,1205000,,,,4556000,2485000,866000
2019,1348000,,,,6035000,3814000,873000
2020,1316000,,,,4270000,2231000,723000
2021,1167000,,,,4373000,2325000,881000
2022,1124000,,,,4967000,2902000,941000
2023,2159700,,,,5120000,2821000,139300
