"Year","Run size","Escapement","Escapement goal","Total catch","State catch","F_state","EEZ Catch"," F_EEZ","MFMT","Potential Yield EEZ","Cumulative Esc.","MSST"
1999,2985,949,1212,2035,1694,0.568,341,NA,NA,79,NA,NA
2000,1815,697,1212,1118,937,0.516,181,NA,NA,0,NA,NA
2001,2190,738,1212,1451,1230,0.562,221,NA,NA,0,NA,NA
2002,3467,1127,1212,2340,1980,0.571,360,NA,NA,275,NA,NA
2003,4440,1402,1212,3037,2606,0.587,431,0.103,0.066,622,4913,3030
2004,5705,1691,1212,4015,3299,0.578,716,0.108,0.119,1194,5655,3030
2005,6109,1654,1212,4455,3598,0.589,857,0.118,0.155,1299,6612,3030
2006,2849,1892,1212,957,850,0.298,107,0.109,0.185,787,7766,3030
2007,3602,964,1212,2638,1864,0.517,774,0.127,0.195,526,7603,3030
2008,2082,709,1212,1374,1154,0.554,220,0.131,0.187,0,6910,3030
2009,2430,848,1212,1582,1254,0.516,328,0.134,0.153,0,6067,3030
2010,3596,1038,1212,2558,1886,0.524,672,0.144,0.124,498,5451,3030
2011,6263,1281,1212,4982,3842,0.613,1140,0.174,0.124,1209,4840,3030
2012,4770,1213,1212,3557,2343,0.491,1214,0.187,0.153,1215,5089,3030
2013,3628,980,1212,2648,1965,0.542,683,0.195,0.163,451,5360,3030
2014,3404,1218,1212,2186,1682,0.494,504,0.194,0.179,510,5730,3030
2015,3819,1400,1212,2419,2181,0.571,238,0.173,0.174,426,6092,3030
2016,3712,1118,1212,2594,2194,0.591,400,0.157,0.15,306,5929,3030
2017,2596,1057,1212,1539,1337,0.515,202,0.118,0.101,47,5773,3030
2018,1566,831,1212,735,638,0.407,97,0.095,0.085,0,5624,3030
2019,3542,1457,1212,2085,1833,0.518,252,0.078,0.084,497,5863,3030
2020,2394,1606,1212,788,738,0.308,50,0.072,0.094,444,6069,3030
2021,3992,2006,1212,1986,1730,0.433,256,0.061,0.145,1050,6957,3030
2022,2929,1206,1212,1723,1393,0.476,330,0.068,0.161,324,7106,3030
2023,3553,1885,1212,1668,1306,0.368,362,0.076,0.204,1035,8160,3030
2024,3724,1555,1212,2169,1980,0.532,189,0.072,0.204,532,8258,3030
