"","Year","Total.Catch","EEZCatch","Escapement","Run","Lower","Smsy","Potential.Yield","FEEZ","MFMT","MSST","Cumulative.Escapement","ACL","Cumulative.Catch","Overfishing.","Overfished.","ACL.Exceeded.","X","X.1"
"1",1999,2035,341,949,2985,700,1212,590,NA,NA,"","","","","","","",NA,NA
"2",2000,1118,181,697,1815,700,1212,178,NA,NA,"","","","","","","",NA,NA
"3",2001,1451,221,738,2190,700,1212,259,NA,NA,"","","","","","","",NA,NA
"4",2002,2340,360,1127,3467,700,1212,786,NA,NA,"","","","","","","",NA,NA
"5",2003,3037,431,1402,4440,700,1212,1134,0.103,0.198,"1,750","4,913","2,947","1,534","No","No","No",NA,NA
"6",2004,4015,716,1691,5705,700,1212,1707,0.108,0.231,"1,750","5,655","4,064","1,909","No","No","No",NA,NA
"7",2005,4455,857,1654,6109,700,1212,1811,0.118,0.26,"1,750","6,612","5,697","2,585","No","No","No",NA,NA
"8",2006,957,107,1892,2849,700,1212,1299,0.109,0.298,"1,750","7,766","6,737","2,471","No","No","No",NA,NA
"9",2007,2638,774,964,3602,700,1212,1038,0.127,0.308,"1,750","7,603","6,989","2,886","No","No","No",NA,NA
"10",2008,1374,220,709,2082,700,1212,228,0.131,0.299,"1,750","6,910","6,084","2,674","No","No","No",NA,NA
"11",2009,1582,328,848,2430,700,1212,476,0.134,0.284,"1,750","6,067","4,852","2,285","No","No","No",NA,NA
"12",2010,2558,672,1038,3596,700,1212,1011,0.144,0.278,"1,750","5,452","4,052","2,100","No","No","No",NA,NA
"13",2011,4982,1140,1281,6263,700,1212,1721,0.174,0.249,"1,750","4,840","4,474","3,134","No","No","No",NA,NA
"14",2012,3557,1214,1213,4770,700,1212,1727,0.187,0.27,"1,750","5,089","5,162","3,573","No","No","No",NA,NA
"15",2013,2648,683,980,3628,700,1212,963,0.195,0.285,"1,750","5,360","5,897","4,036","No","No","No",NA,NA
"16",2014,2186,504,1218,3404,700,1212,1022,0.194,0.297,"1,750","5,731","6,443","4,212","No","No","No",NA,NA
"17",2015,2419,238,1400,3819,700,1212,938,0.173,0.291,"1,750","6,092","6,371","3,778","No","No","No",NA,NA
"18",2016,2594,400,1118,3712,700,1212,818,0.157,0.283,"1,750","5,930","5,467","3,038","No","No","No",NA,NA
"19",2017,1539,202,1057,2596,700,1212,558,0.118,0.251,"1,750","5,774","4,299","2,025","No","No","No",NA,NA
"20",2018,735,97,831,1566,700,1212,229,0.095,0.236,"1,750","5,624","3,565","1,440","No","No","No",NA,NA
"21",2019,2085,252,1457,3542,700,1212,1009,0.078,0.233,"1,750","5,863","3,552","1,189","No","No","No",NA,NA
"22",2020,788,50,1606,2394,750,1212,906,0.073,0.255,"1,775","6,069","3,520","1,001","No","No","No",NA,NA
"23",2021,1986,256,2006,3992,750,1212,1512,0.061,0.299,"1,800","6,957","4,214","857","No","No","No",NA,NA
"24",2022,1723,330,1206,2929,750,1212,786,0.068,0.308,"1,825","7,106","4,442","986","No","No","No",NA,NA
"25",2023,1668,362,1885,3553,750,1212,1497,0.076,0.348,"1,850","8,160","5,710","1,250","No","No","No",NA,NA
"26",2024,2169,189,1555,3724,750,1212,994,0.072,0.343,"1,875","8,258","5,695","1,187","No","No","No",NA,NA
