Year,Total Catch,EEZ Catch,Deshka R.,Little Susitna R.,Total Esc,Total Run,Esc Goal,Potential Yield EEZ,FEEZ,MFMT,MSST,Cumulative Escapement,ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?,
1999,257704,29177,4566,3017,7583,265287,20300,16460,,,,,,,,,,
2000,443988,68810,26387,15436,41823,485811,20300,90333,,,,,,,,,,
2001,320985,19384,29927,30587,60514,381499,20300,59598,,,,,,,,,,
2002,465327,66185,24612,47938,72550,537877,20300,118435,0.11,0.17,40600,182470,284826,183556,No,No,No,
2003,261952,26096,17305,10877,28182,290134,20300,33978,0.11,0.18,40600,203069,302344,180475,No,No,No,
2004,509533,92888,62940,40199,103139,612672,20300,175727,0.11,0.21,40600,264385,387738,204553,No,No,No,
2005,391817,64728,47887,16839,64726,456543,20300,109154,0.13,0.23,40600,268597,437294,249897,No,No,No,
2006,359893,44646,59419,8786,68205,428098,20300,92551,0.13,0.23,40600,264252,411410,228358,No,No,No,
2007,316900,65791,10575,17573,28148,345048,20300,73639,0.15,0.25,40600,264218,451071,268053,No,No,No,
2008,357443,38407,12724,18485,31209,388652,20300,49316,0.13,0.2,40600,192288,324660,213572,No,No,No,
2009,315690,37456,27348,9523,36871,352561,20300,54027,0.12,0.18,40600,164433,269533,186300,No,No,No,
2010,353653,59497,10393,9214,19607,373260,20300,58804,0.14,0.16,40600,115835,235786,201151,No,No,No,
2011,203893,18580,7326,4826,12152,216045,20300,10432,0.12,0.13,40600,99839,172579,153940,No,No,No,
2012,197966,36416,6825,6779,13604,211570,20300,29720,0.13,0.13,40600,82234,152983,151949,No,No,No,
2013,382699,109846,22141,13583,35724,418423,20300,125270,0.18,0.18,40600,81087,224226,224339,Yes,No,Yes,
2014,280218,33163,11578,24211,35789,316007,20300,48652,0.17,0.18,40600,97269,214074,198005,No,No,No,
2015,377887,54489,10775,12756,23531,401418,20300,57720,0.17,0.19,40600,108648,261362,233914,No,No,No,
2016,231482,34640,6820,10049,16869,248351,20300,31209,0.17,0.19,40600,111913,262851,232138,No,No,No,
2017,416258,76492,36869,17781,54650,470908,20300,110842,0.14,0.17,40600,130839,248423,198784,No,No,No,
2018,362708,60426,13072,7583,20655,383363,20300,60781,0.15,0.17,40600,115705,260552,226047,No,No,No,
2019,273194,39361,10445,4229,14674,287868,20300,33735,0.15,0.17,40600,106848,236567,210919,No,No,No,
2020,226730,1621,,10765,10765,237495,20300,0,0.13,0.15,40600,100744,205358,177900,No,No,No,
2021,277020,33047,,10923,10923,287943,20300,23670,0.11,0.1,40600,57017,118186,134455,Yes,No,Yes,
2022,214514.00,24011.00,1899.00,3162.00,5061.00,219575.00,19300.00,9772.00,0.09,0.07,38600.00,41423.00,69177.00,98040.00,Yes,No,Yes,
2023,198046.60,24638.00,1817.00,3726.00,5543.00,203589.60,19300.00,10881.00,0.09,0.05,38600.00,32292.00,45323.00,83317.00,Yes,Yes,Yes,
